Date,Crypto,Open,High,Low,Close,Volume
2018-06-20,Bitcoin,6770.76,6821.56,6611.88,6776.55,3888640000.0
2018-06-21,Bitcoin,6780.09,6810.94,6715.17,6729.74,3529129984.0
2018-06-22,Bitcoin,6737.88,6747.08,6006.6,6083.69,5079810048.0
2018-06-23,Bitcoin,6090.1,6224.82,6071.81,6162.48,3431360000.0
2018-06-24,Bitcoin,6164.28,6223.78,5826.41,6173.23,4566909952.0
2018-06-25,Bitcoin,6171.97,6327.37,6119.68,6249.18,5500810240.0
2018-06-26,Bitcoin,6253.55,6290.16,6093.67,6093.67,3279759872.0
2018-06-27,Bitcoin,6084.4,6180.0,6052.85,6157.13,3296219904.0
2018-06-28,Bitcoin,6153.16,6170.41,5873.05,5903.44,3467800064.0
2018-06-29,Bitcoin,5898.13,6261.66,5835.75,6218.3,3966230016.0
2018-06-30,Bitcoin,6214.22,6465.51,6214.22,6404.0,4543860224.0
2018-07-01,Bitcoin,6411.68,6432.85,6289.29,6385.82,4788259840.0
2018-07-02,Bitcoin,6380.38,6683.86,6305.7,6614.18,4396930048.0
2018-07-03,Bitcoin,6596.66,6671.37,6447.75,6529.59,4672309760.0
2018-07-04,Bitcoin,6550.87,6771.92,6450.46,6597.55,4176689920.0
2018-07-05,Bitcoin,6599.71,6749.54,6546.65,6639.14,4999240192.0
2018-07-06,Bitcoin,6638.69,6700.94,6533.55,6673.5,4313959936.0
2018-07-07,Bitcoin,6668.71,6863.99,6579.24,6856.93,3961080064.0
2018-07-08,Bitcoin,6857.8,6885.91,6747.98,6773.88,3386210048.0
2018-07-09,Bitcoin,6775.08,6838.68,6724.34,6741.75,3718129920.0
2018-07-10,Bitcoin,6739.21,6767.74,6320.72,6329.95,4052430080.0
2018-07-11,Bitcoin,6330.77,6444.96,6330.47,6394.71,3644859904.0
2018-07-12,Bitcoin,6396.78,6397.1,6136.42,6228.81,3770170112.0
2018-07-13,Bitcoin,6235.03,6310.55,6192.24,6238.05,3805400064.0
